iter	Passed	Remaining
666	39776	79493
667	39833	79429
668	39897	79377
669	39953	79311
670	40012	79249
671	40071	79189
672	40157	79180
673	40217	79122
674	40280	79068
675	40356	79042
676	40422	78994
677	40497	78964
678	40558	78907
679	40618	78848
680	40679	78791
681	40744	78739
682	40803	78679
683	40897	78684
684	40957	78625
685	41014	78561
686	41099	78549
687	41181	78531
688	41278	78542
689	41381	78565
690	41452	78525
691	41543	78524
692	41611	78479
693	41678	78433
694	41742	78380
695	41803	78322
696	41864	78262
697	41940	78233
698	42022	78213
699	42081	78150
700	42141	78090
701	42194	78017
702	42278	78000
703	42358	77977
704	42415	77912
705	42473	77848
706	42537	77794
707	42601	77740
708	42662	77682
709	42719	77616
710	42778	77555
711	42838	77495
712	42893	77425
713	42952	77362
714	43014	77306
715	43112	77314
716	43198	77299
717	43284	77285
718	43388	77303
719	43473	77286
720	43549	77254
721	43631	77232
722	43705	77194
723	43774	77149
724	43842	77101
725	43918	77069
726	43979	77008
727	44046	76960
728	44122	76926
729	44206	76906
730	44277	76863
731	44329	76789
732	44383	76716
733	44440	76651
734	44502	76592
735	44566	76537
736	44629	76481
737	44693	76427
738	44758	76374
739	44819	76315
740	44896	76281
741	44963	76232
742	45039	76196
743	45107	76149
744	45180	76109
745	45241	76050
746	45312	76006
747	45369	75939
748	45428	75875
749	45499	75832
750	45581	75807
751	45669	75791
752	45733	75737
753	45801	75687
754	45876	75650
755	45965	75636
756	46025	75574
757	46116	75563
758	46186	75516
759	46251	75462
760	46311	75401
761	46370	75336
762	46426	75267
763	46481	75197
764	46535	75125
765	46596	75065
766	46656	75003
767	46711	74932
768	46767	74864
769	46824	74797
770	46884	74735
771	46944	74673
772	47004	74612
773	47072	74561
774	47131	74498
775	47189	74432
776	47272	74407
777	47348	74369
778	47410	74310
779	47475	74256
780	47531	74188
781	47599	74138
782	47656	74071
783	47711	74001
784	47772	73940
785	47825	73867
786	47881	73800
787	47936	73730
788	47995	73666
789	48055	73604
790	48136	73573
791	48197	73513
792	48269	73469
793	48344	73430
794	48419	73390
795	48491	73345
796	48557	73292
797	48630	73249
798	48689	73186
799	48749	73123
800	48809	73061
801	48891	73033
802	48952	72972
803	49016	72915
804	49084	72864
805	49143	72801
806	49209	72746
807	49277	72696
808	49334	72629
809	49391	72562
810	49462	72517
811	49520	72450
812	49583	72393
813	49659	72353
814	49713	72283
815	49774	72222
816	49837	72163
817	49901	72106
818	49956	72038
819	50016	71974
820	50077	71914
821	50137	71851
822	50203	71797
823	50270	71745
824	50336	71692
825	50399	71633
826	50457	71568
827	50520	71510
828	50577	71443
829	50631	71372
830	50695	71315
831	50759	71258
832	50812	71185
833	50866	71115
834	50925	71051
835	50983	70987
836	51051	70935
837	51167	70950
838	51235	70898
839	51302	70846
840	51357	70777
841	51419	70717
842	51481	70657
843	51549	70605
844	51631	70573
845	51698	70519
846	51757	70456
847	51818	70394
848	51875	70327
849	51937	70268
850	52002	70212
851	52066	70155
852	52140	70112
853	52203	70053
854	52266	69994
855	52336	69945
856	52413	69905
857	52477	69848
858	52541	69790
859	52600	69726
860	52666	69671
861	52736	69621
862	52799	69562
863	52870	69515
864	52949	69476
865	53010	69415
866	53074	69358
867	53147	69311
868	53209	69251
869	53263	69180
870	53323	69118
871	53438	69126
872	53522	69095
873	53581	69030
874	53670	69005
875	53751	68968
876	53810	68904
877	53872	68844
878	53938	68788
879	53994	68720
880	54054	68657
881	54111	68589
882	54175	68532
883	54238	68473
884	54317	68433
885	54376	68369
886	54437	68307
887	54496	68243
888	54556	68180
889	54624	68126
890	54681	68060
891	54741	67997
892	54802	67935
893	54856	67864
894	54914	67799
895	54975	67737
896	55033	67671
897	55093	67608
898	55157	67551
899	55213	67483
900	55269	67415
901	55331	67354
902	55391	67291
903	55445	67221
904	55506	67159
905	55562	67092
906	55622	67028
907	55684	66968
908	55759	66923
909	55813	66853
910	55894	66816
911	55977	66780
912	56042	66722
913	56103	66661
914	56179	66616
915	56249	66565
916	56308	66501
917	56366	66436
918	56424	66371
919	56492	66316
920	56602	66312
921	56657	66244
922	56716	66179
923	56805	66149
924	56882	66107
925	56967	66072
926	57028	66009
927	57092	65951
928	57152	65888
929	57217	65830
930	57279	65769
931	57338	65705
932	57416	65662
933	57477	65600
934	57537	65537
935	57594	65471
936	57657	65411
937	57747	65382
938	57824	65337
939	57907	65300
940	57971	65241
941	58030	65176
942	58102	65126
943	58165	65066
944	58227	65005
945	58285	64939
946	58340	64870
947	58405	64812
948	58464	64748
949	58523	64684
950	58585	64622
951	58645	64559
952	58707	64497
953	58762	64429
954	58829	64373
955	58881	64301
956	58935	64231
957	58993	64166
958	59047	64096
959	59103	64028
960	59160	63961
961	59217	63896
962	59280	63836
963	59337	63769
964	59393	63701
965	59457	63642
966	59514	63576
967	59583	63522
